,,,,,,
Walmart Receiving DCs for Store Numbers 1258-4869,,,,,,
Store #,Address Line 1,Address Line 2,City,State,Zip Code,Phone Number
6003,Walmart DC 6003p-PAD,3301 E Park And Blass Ave,Searcy,AR,72143-0000,501-268-2411
6003,Walmart DC 6003w-WPM,3301 E Park And Blass Ave,Searcy,AR,72143-0000,501-268-2411
6003,Walmart DC 6003i-IMP ASM,3301 E Park And Blass Ave,Searcy,AR,72143-0000,501-268-2411
6003,Walmart DC 6003a-ASM Dis,3301 E Park And Blass Ave,Searcy,AR,72143-0000,501-268-2411
6004,Walmart DC 6004,702 Sw 8th St,Bentonville,AR,72716-6209,501-277-2411
6005,Palestine TX Fashion 6005,201 Old Elkhart Rd,Palestine,TX,75801-5931,903-729-2121
6006,"Cullman, Al RDC 6006",2200 7th Ave Sw,Cullman,AL,35055-6333,205-734-5121
6009,Mt Pleasant Ia Dps 6009,1501 E Mapleleaf Dr,Mount Pleasant,IA,52641,319-385-2313
6010,Walmart Warehouse 6010,1401 Baker Hwy W,Douglas,GA,31533-2111,912-384-1111
6010,Walmart DC 6010g-general,1401 Baker Hwy W,Douglas,GA,31533-2111,912-384-1111
6010,Walmart DC 6010t-TAB,1401 Baker Hwy W,Douglas,GA,31533-2111,912-384-1111
6010,Walmart DC 6010d-DSDC,1401 Baker Hwy W,Douglas,GA,31533-2111,912-384-1111
6010,Walmart Warehouse 6010,1401 Baker Hwy W,Douglas,GA,31533-2111,912-384-1111
6010,Walmart DC 6010p-PAD,1401 Baker Hwy W,Douglas,GA,31533-2111,912-384-1111
6010,Walmart DC 6010w-WPM,1401 Baker Hwy W,Douglas,GA,31533-2111,912-384-1111
6010,Walmart DC 6010i-IMP ASM,1401 Baker Hwy W,Douglas,GA,31533-2111,912-384-1111
6010,Walmart DC 6010a-ASM Dis,1401 Baker Hwy W,Douglas,GA,31533-2111,912-384-1111
6011,Walmart DC 6011r-regular,2200 Manufacturers Blvd Ne,Brookhaven,MS,396019560,601-833-2411
6011,"Brookhaven, Ms RDC 6011",2200 Manufacturers Blvd Ne,Brookhaven,MS,396019560,601-833-2411
6011,Walmart DC 6011j-jit,2200 Manufacturers Blvd Ne,Brookhaven,MS,396019560,601-833-2411
6011,"Brookhaven, Ms RDC 6011",2200 Manufacturers Blvd Ne,Brookhaven,MS,396019560,601-833-2411
6012,Walmart DC 6012r-regular,3101 Quincy St,Plainview,TX,79072,806-296-1182
6012,Walmart Warehouse 6012,3101 Quincy St,Plainview,TX,79072,806-296-1182
6012,Walmart DC 6012j-jit,3101 Quincy St,Plainview,TX,79072,806-296-1182
6012,Walmart Warehouse 6012,3101 Quincy St,Plainview,TX,79072,806-296-1182
6013,Walmart Pharmacy Warehouse 6013,4501 Walmart Way,Tifton,GA,31794-8826,229-382-5019
6014,Regional Distribution Center 6014,1050 Vern Cora Rd,Laurens,SC,29360-5346,800-922-0523
6014,Walmart DC 6014g-general,1050 Vern Cora Rd,Laurens,SC,29360-5346,800-922-0523
6014,Walmart DC 6014t-TAB,1050 Vern Cora Rd,Laurens,SC,29360-5346,800-922-0523
6014,Walmart DC 6014d-DSDC,1050 Vern Cora Rd,Laurens,SC,29360-5346,800-922-0523
6014,Regional Distribution Center 6014,1050 Vern Cora Rd,Laurens,SC,29360-5346,800-922-0523
6014,Walmart DC 6014p-PAD,1050 Vern Cora Rd,Laurens,SC,29360-5346,800-922-0523
6014,Walmart DC 6014w-WPM,1050 Vern Cora Rd,Laurens,SC,29360-5346,800-922-0523
6014,Walmart DC 6014i-IMP ASM,1050 Vern Cora Rd,Laurens,SC,29360-5346,800-922-0523
6014,Walmart DC 6014a-ASM Dis,1050 Vern Cora Rd,Laurens,SC,29360-5346,800-922-0523
6016,Walmart Warehouse 6016,3900 N Ih 35,New Braunfels,TX,78130-2607,210-608-2178
6016,Walmart DC 6016g-general,3900 N Ih 35,New Braunfels,TX,78130-2607,210-608-2178
6016,Walmart Warehouse 6016,3900 N Ih 35,New Braunfels,TX,78130-2607,210-608-2178
6016,Walmart DC 6016d-DSDC,3900 N Ih 35,New Braunfels,TX,78130-2607,210-608-2178
6016,Walmart Warehouse 6016,3900 N Ih 35,New Braunfels,TX,78130-2607,210-608-2178
6016,Walmart DC 6016p-PAD,3900 N Ih 35,New Braunfels,TX,78130-2607,210-608-2178
6016,Walmart DC 6016w-WPM,3900 N Ih 35,New Braunfels,TX,78130-2607,210-608-2178
6016,Walmart DC 6016i-IMP ASM,3900 N Ih 35,New Braunfels,TX,78130-2607,210-608-2178
6016,Walmart DC 6016a-ASM Dis,3900 N Ih 35,New Braunfels,TX,78130-2607,210-608-2178
6017,Walmart Warehouse 6017,2106 E Tipton St,Seymour,IN,47274,812-522-2598
6017,Walmart DC 6017g-general,2106 E Tipton St,Seymour,IN,47274,812-522-2598
6017,Walmart Warehouse 6017,2106 E Tipton St,Seymour,IN,47274,812-522-2598
6017,Walmart DC 6017d-DSDC,2106 E Tipton St,Seymour,IN,47274,812-522-2598
6017,Walmart Warehouse 6017,2106 E Tipton St,Seymour,IN,47274,812-522-2598
6017,Walmart DC 6017p-PAD,2106 E Tipton St,Seymour,IN,47274,812-522-2598
6017,Walmart DC 6017w-WPM,2106 E Tipton St,Seymour,IN,47274,812-522-2598
6017,Walmart DC 6017i-IMP ASM,2106 E Tipton St,Seymour,IN,47274,812-522-2598
6017,Walmart DC 6017a-ASM Dis,2106 E Tipton St,Seymour,IN,47274,812-522-2598
6018,Walmart Warehouse 6018,2103 S Main St,Searcy,AR,721439052,501-268-2411
6018,Walmart DC 6018g-general,2103 S Main St,Searcy,AR,721439052,501-268-2411
6018,Walmart Warehouse 6018,2103 S Main St,Searcy,AR,721439052,501-268-2411
6018,Walmart DC 6018d-DSDC,2103 S Main St,Searcy,AR,721439052,501-268-2411
6018,Walmart Warehouse 6018,2103 S Main St,Searcy,AR,721439052,501-268-2411
6018,Walmart DC 6018p-PAD,2103 S Main St,Searcy,AR,721439052,501-268-2411
6018,Walmart DC 6018w-WPM,2103 S Main St,Searcy,AR,721439052,501-268-2411
6018,Walmart DC 6018i-IMP ASM,2103 S Main St,Searcy,AR,721439052,501-268-2411
6018,Walmart DC 6018a-ASM Dis,2103 S Main St,Searcy,AR,721439052,501-268-2411
6019,Walmart Warehouse 6019,7500 E Crossroads Blvd,Loveland,CO,80538-8958,970-667-3122
6019,Walmart DC 6019g-general,7500 E Crossroads Blvd,Loveland,CO,80538-8958,970-667-3122
6019,Walmart DC 6019t-TAB,7500 E Crossroads Blvd,Loveland,CO,80538-8958,970-667-3122
